"idName","respAcc"
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",0
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",0
"iynwqcuz",0
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",0
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",0
"iynwqcuz",0
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"iynwqcuz",1
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",0
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",0
"czbtuqnl",0
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",1
"czbtuqnl",0
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",0
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",0
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"amfpujkn",1
"hztfgjui",1
"hztfgjui",0
"hztfgjui",1
"hztfgjui",1
"hztfgjui",0
"hztfgjui",0
"hztfgjui",1
"hztfgjui",0
"hztfgjui",1
"hztfgjui",1
"hztfgjui",0
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",0
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",0
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",0
"hztfgjui",0
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",1
"hztfgjui",0
"eqlciwjb",0
"eqlciwjb",0
"eqlciwjb",0
"eqlciwjb",0
"eqlciwjb",1
"eqlciwjb",1
"eqlciwjb",1
"eqlciwjb",0
"eqlciwjb",0
"eqlciwjb",0
"eqlciwjb",1
"eqlciwjb",1
"eqlciwjb",1
"eqlciwjb",1
"eqlciwjb",0
"eqlciwjb",1
"eqlciwjb",1
